State,Year,Quarter,Entity_level,Entity_Name,Transaction_Count,Transaction_Amount
uttar-pradesh,2021,2,pincodes,226004,30119203,58851436924.50308
uttar-pradesh,2021,2,pincodes,201301,9161290,11443281811.838333
uttar-pradesh,2021,2,pincodes,250001,4986937,9290889335.293001
uttar-pradesh,2021,2,pincodes,201307,3229621,3762392259.7045245
uttar-pradesh,2021,2,pincodes,201009,2982592,4312398218.589519
uttar-pradesh,2021,2,pincodes,201318,2879977,4086962465.071066
uttar-pradesh,2021,2,pincodes,201102,2605822,4403533727.178192
uttar-pradesh,2021,2,pincodes,201304,2304994,2716975312.4889264
uttar-pradesh,2021,2,pincodes,201308,2232080,2824968875.5223007
uttar-pradesh,2021,2,pincodes,247001,1887127,3969980278.18306
uttar-pradesh,2021,3,districts,lucknow,51055467,85371248453.0547
uttar-pradesh,2021,3,districts,gautam buddha nagar,41878965,51051292560.45669
uttar-pradesh,2021,3,districts,ghaziabad,22358776,35753594948.1124
uttar-pradesh,2021,3,districts,meerut,11446543,20511958929.64806
uttar-pradesh,2021,3,districts,prayagraj,10478343,18012924107.458786
uttar-pradesh,2021,3,districts,kanpur nagar,9924366,18370977249.144783
uttar-pradesh,2021,3,districts,agra,8882859,16295735776.09449
uttar-pradesh,2021,3,districts,varanasi,8732870,15613135907.98264
uttar-pradesh,2021,3,districts,gorakhpur,7464913,15458247189.130363
uttar-pradesh,2021,3,districts,aligarh,5783351,10758162334.818872
uttar-pradesh,2021,3,pincodes,226004,32760729,56323637943.606125
uttar-pradesh,2021,3,pincodes,201301,13557540,16582897948.020151
uttar-pradesh,2021,3,pincodes,250001,6650017,11375083241.971977
uttar-pradesh,2021,3,pincodes,201307,4542306,5106754765.059321
uttar-pradesh,2021,3,pincodes,201318,4121986,5590993964.782591
uttar-pradesh,2021,3,pincodes,201009,3889561,5487347295.887901
uttar-pradesh,2021,3,pincodes,201308,3317108,3951031913.7470746
uttar-pradesh,2021,3,pincodes,201102,3208514,5580811561.871746
uttar-pradesh,2021,3,pincodes,201304,3163828,3612751194.966604
uttar-pradesh,2021,3,pincodes,247001,2727689,5133685981.17178
uttar-pradesh,2021,1,districts,lucknow,35616880,66268662302.66503
uttar-pradesh,2021,1,districts,gautam buddha nagar,31352951,37748670525.2387
uttar-pradesh,2021,1,districts,ghaziabad,16400075,26364856584.17089
uttar-pradesh,2021,1,districts,prayagraj,7886986,14358916730.34151
uttar-pradesh,2021,1,districts,kanpur nagar,6948497,13274223178.294434
uttar-pradesh,2021,1,districts,meerut,6883062,13712809242.556309
uttar-pradesh,2021,1,districts,varanasi,5807048,10950765766.981533
uttar-pradesh,2021,1,districts,agra,5773733,11198658827.144236
uttar-pradesh,2021,1,districts,gorakhpur,4804502,10959348578.905521
uttar-pradesh,2021,1,districts,aligarh,3639658,7418381922.136725
uttar-pradesh,2021,1,pincodes,226004,22707332,45313324217.90133
uttar-pradesh,2021,1,pincodes,201301,10319312,12062504221.249079
uttar-pradesh,2021,1,pincodes,250001,3773281,7415487991.852068
uttar-pradesh,2021,1,pincodes,201307,3475051,3875774997.6220965
uttar-pradesh,2021,1,pincodes,201318,2910787,3960222041.8567605
uttar-pradesh,2021,1,pincodes,201308,2900019,3147205748.8876724
uttar-pradesh,2021,1,pincodes,201009,2805336,4050056403.412795
uttar-pradesh,2021,1,pincodes,201304,2294976,2705732772.990325
uttar-pradesh,2021,1,pincodes,201102,2202672,4068601034.7516813
uttar-pradesh,2021,1,pincodes,201303,2085839,2303130814.5934906
uttar-pradesh,2021,4,districts,lucknow,67415795,115688821642.09215
uttar-pradesh,2021,4,districts,gautam buddha nagar,52546170,66955029270.3713
uttar-pradesh,2021,4,districts,ghaziabad,27945576,45871860827.12578
uttar-pradesh,2021,4,districts,meerut,15531638,28699663710.751427
uttar-pradesh,2021,4,districts,prayagraj,14418013,25298767096.605217
uttar-pradesh,2021,4,districts,kanpur nagar,13055831,24968225095.50705
uttar-pradesh,2021,4,districts,agra,11675242,22888020081.302628
uttar-pradesh,2021,4,districts,varanasi,11458477,22020915567.445705
uttar-pradesh,2021,4,districts,gorakhpur,9958532,21591200217.75315
uttar-pradesh,2021,4,districts,aligarh,7765317,15072461376.02834
uttar-pradesh,2021,4,pincodes,226004,43155116,77167492878.88756
uttar-pradesh,2021,4,pincodes,201301,17416177,23030538584.39058
uttar-pradesh,2021,4,pincodes,250001,9138761,16053909978.870377
uttar-pradesh,2021,4,pincodes,201307,5361041,6204986676.099574
uttar-pradesh,2021,4,pincodes,201318,4950752,6912121603.062154
uttar-pradesh,2021,4,pincodes,201009,4752954,6992671818.79501
uttar-pradesh,2021,4,pincodes,201308,4325932,5139790918.163253
uttar-pradesh,2021,4,pincodes,201102,4111189,7379089753.306963
uttar-pradesh,2021,4,pincodes,247001,4040366,7174080294.1235695
uttar-pradesh,2021,4,pincodes,201304,3770183,4508300764.615355
uttar-pradesh,2024,2,districts,gautam buddha nagar,265595986,216594147530.0
uttar-pradesh,2024,2,districts,ghaziabad,134489423,151784488421.0
uttar-pradesh,2024,2,districts,lucknow,114911286,130163269528.0
uttar-pradesh,2024,2,districts,prayagraj,68889466,79935836127.0
uttar-pradesh,2024,2,districts,agra,64970242,87526694851.0
uttar-pradesh,2024,2,districts,varanasi,53609943,72045558201.0
uttar-pradesh,2024,2,districts,meerut,53321480,73554412225.0
uttar-pradesh,2024,2,districts,kanpur nagar,51693571,71093070940.0
uttar-pradesh,2024,2,districts,mathura,50353355,63987781696.0
uttar-pradesh,2024,2,districts,aligarh,48000025,61196251661.0
uttar-pradesh,2024,2,pincodes,201301,62464983,44004838882.0
uttar-pradesh,2024,2,pincodes,201318,31182148,28946513666.0
uttar-pradesh,2024,2,pincodes,201307,27331151,22352686482.0
uttar-pradesh,2024,2,pincodes,201009,27292371,26144247257.0
uttar-pradesh,2024,2,pincodes,201306,21756992,16024561647.0
uttar-pradesh,2024,2,pincodes,201304,21615149,17146973919.0
uttar-pradesh,2024,2,pincodes,201102,21593840,28041639147.0
uttar-pradesh,2024,2,pincodes,201308,20341125,17470211709.0
uttar-pradesh,2024,2,pincodes,201305,18971374,12676437645.0
uttar-pradesh,2024,2,pincodes,201303,16979682,13243458679.0
uttar-pradesh,2024,3,districts,gautambuddha nagar,291856209,236884974417.0
uttar-pradesh,2024,3,districts,ghaziabad,149934050,164745233106.0
uttar-pradesh,2024,3,districts,lucknow,127784602,139114191596.0
uttar-pradesh,2024,3,districts,prayagraj,74102313,80042854850.0
uttar-pradesh,2024,3,districts,agra,70423368,90248608620.0
uttar-pradesh,2024,3,districts,varanasi,57428069,73377394881.0
uttar-pradesh,2024,3,districts,meerut,56471461,75060386735.0
uttar-pradesh,2024,3,districts,mathura,56288955,66773541686.0
uttar-pradesh,2024,3,districts,kanpur nagar,55431032,73158180164.0
uttar-pradesh,2024,3,districts,aligarh,51869358,62228713746.0
uttar-pradesh,2024,3,pincodes,201301,68967992,49390127364.0
uttar-pradesh,2024,3,pincodes,201318,35881468,32775301376.0
uttar-pradesh,2024,3,pincodes,201009,31029361,29298756821.0
uttar-pradesh,2024,3,pincodes,201307,24601277,19981626871.0
uttar-pradesh,2024,3,pincodes,201102,24043998,29798671042.0
uttar-pradesh,2024,3,pincodes,201306,24006681,18208036690.0
uttar-pradesh,2024,3,pincodes,201305,22406903,14901213555.0
uttar-pradesh,2024,3,pincodes,201303,21760533,16608365848.0
uttar-pradesh,2024,3,pincodes,201308,19971597,17295126174.0
uttar-pradesh,2024,3,pincodes,201304,17608045,13999934880.0
uttar-pradesh,2024,1,districts,gautam buddha nagar,214720949,194154342486.0
uttar-pradesh,2024,1,districts,ghaziabad,109758298,137986072000.0
uttar-pradesh,2024,1,districts,lucknow,98984929,120573446601.0
uttar-pradesh,2024,1,districts,prayagraj,59468623,73955736866.0
uttar-pradesh,2024,1,districts,agra,55419961,81038729448.0
uttar-pradesh,2024,1,districts,varanasi,45777703,65710111632.0
uttar-pradesh,2024,1,districts,meerut,44767366,68415601527.0
uttar-pradesh,2024,1,districts,kanpur nagar,44194366,65696223285.0
uttar-pradesh,2024,1,districts,mathura,43428644,58457815015.0
uttar-pradesh,2024,1,districts,aligarh,41188747,57031640561.0
uttar-pradesh,2024,1,pincodes,201301,52120222,40796556514.0
uttar-pradesh,2024,1,pincodes,201318,24533561,25318689317.0
uttar-pradesh,2024,1,pincodes,201009,21721477,23365991549.0
uttar-pradesh,2024,1,pincodes,201307,21457386,19514196469.0
uttar-pradesh,2024,1,pincodes,201102,18575258,26502104033.0
uttar-pradesh,2024,1,pincodes,201306,17561364,14341214263.0
uttar-pradesh,2024,1,pincodes,201304,17078920,15152060180.0
uttar-pradesh,2024,1,pincodes,201308,16212360,15262981242.0
uttar-pradesh,2024,1,pincodes,201305,15404519,11653218130.0
uttar-pradesh,2024,1,pincodes,201303,13629939,11738792744.0
uttar-pradesh,2024,4,districts,gautambuddha nagar,308036927,255133255191.0
uttar-pradesh,2024,4,districts,ghaziabad,163017971,183785170259.0
uttar-pradesh,2024,4,districts,lucknow,139743209,155107785638.0
uttar-pradesh,2024,4,districts,prayagraj,83170529,95998755498.0
uttar-pradesh,2024,4,districts,agra,77992317,107307102968.0
uttar-pradesh,2024,4,districts,varanasi,64105707,85972676969.0
uttar-pradesh,2024,4,districts,meerut,62400782,87172436119.0
uttar-pradesh,2024,4,districts,kanpur nagar,61274771,84739949506.0
uttar-pradesh,2024,4,districts,mathura,60087548,76660773349.0
uttar-pradesh,2024,4,districts,gorakhpur,56919483,77418899089.0
uttar-pradesh,2024,4,pincodes,201301,71597704,52354483878.0
uttar-pradesh,2024,4,pincodes,201318,38071353,35252036734.0
uttar-pradesh,2024,4,pincodes,201009,33660409,32097438878.0
uttar-pradesh,2024,4,pincodes,201102,26468604,34154045004.0
uttar-pradesh,2024,4,pincodes,201306,25922002,18999433334.0
uttar-pradesh,2024,4,pincodes,201307,25367931,21055364365.0
uttar-pradesh,2024,4,pincodes,201305,23434608,15954203000.0
uttar-pradesh,2024,4,pincodes,201303,22488540,17391266842.0
uttar-pradesh,2024,4,pincodes,201308,21898575,18802778404.0
uttar-pradesh,2024,4,pincodes,202001,19460711,25909452047.0
uttar-pradesh,2018,2,districts,gautam buddha nagar,1942298,3398984096.752239
uttar-pradesh,2018,2,districts,lucknow,1289613,2162778201.1855044
uttar-pradesh,2018,2,districts,ghaziabad,1034409,1868838026.6123133
uttar-pradesh,2018,2,districts,varanasi,836072,956626447.3607963
uttar-pradesh,2018,2,districts,prayagraj,804712,1129002834.2139683
uttar-pradesh,2018,2,districts,kanpur nagar,675908,954304697.7952932
